static
threads, "chank size", time 
2, 100, 1.80073
2, 90, 1.70643
2, 80, 1.69282
2, 70, 1.71315
2, 60, 1.66903
2, 50, 1.66915
2, 40, 1.69757
2, 30, 1.67823
2, 20, 1.68933
2, 10, 1.67331
3, 100, 1.17573
3, 90, 1.19229
3, 80, 1.21884
3, 70, 1.22371
3, 60, 1.19488
3, 50, 1.18399
3, 40, 1.18441
3, 30, 1.19779
3, 20, 1.18134
3, 10, 1.2056
4, 100, 1.00138
4, 90, 1.01416
4, 80, 0.978517
4, 70, 0.955419
4, 60, 0.951001
4, 50, 0.958372
4, 40, 0.961871
4, 30, 0.940036
4, 20, 0.972191
4, 10, 0.975226
dyanmic
threads, "chank size", time 
2, 100, 1.65641
2, 90, 1.7163
2, 80, 1.67529
2, 70, 1.68073
2, 60, 1.65399
2, 50, 1.65334
2, 40, 1.67852
2, 30, 1.67079
2, 20, 1.66333
2, 10, 1.67829
3, 100, 1.19044
3, 90, 1.19245
3, 80, 1.2151
3, 70, 1.21079
3, 60, 1.20423
3, 50, 1.17945
3, 40, 1.1721
3, 30, 1.19699
3, 20, 1.20149
3, 10, 1.22238
4, 100, 0.978058
4, 90, 0.981115
4, 80, 0.973085
4, 70, 0.937482
4, 60, 0.951545
4, 50, 0.951718
4, 40, 0.93795
4, 30, 0.928818
4, 20, 0.941228
4, 10, 0.955296
guided
threads, "chank size", time 
2, 100, 1.66992
2, 90, 1.65812
2, 80, 1.66353
2, 70, 1.65372
2, 60, 1.65519
2, 50, 1.65827
2, 40, 1.65587
2, 30, 1.6903
2, 20, 1.65475
2, 10, 1.65797
3, 100, 1.20382
3, 90, 1.21412
3, 80, 1.19905
3, 70, 1.1812
3, 60, 1.18253
3, 50, 1.1854
3, 40, 1.34805
3, 30, 1.41988
3, 20, 1.18866
3, 10, 1.22444
4, 100, 0.993742
4, 90, 0.952136
4, 80, 0.947285
4, 70, 0.953571
4, 60, 0.952137
4, 50, 0.963217
4, 40, 0.960722
4, 30, 0.94886
4, 20, 0.962175
4, 10, 0.955997
